2024-09-13 18:59:11 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:59:11 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:59:11 ERROR com.tinkoff_lab.dao.jdbc.TranslationDAO - Insertion of query in database goes wrong!
2024-09-13 18:59:40 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=s, originalLanguage=ru,, finalLanguage=be]
2024-09-13 18:59:40 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = s 
2024-09-13 18:59:40 INFO  c.t.external.TranslationDefiner - Request has received: text = s 
2024-09-13 18:59:40 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <s>, status is 403
2024-09-13 18:59:40 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=s, originalLang=ru,, translatedText=, targetLang=be, time=2024/09/13 18:59:40, status=403, message='RU,' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-09-13 18:59:40 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:59:40 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:59:57 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, малышка, originalLanguage=ru, finalLanguage=be]
2024-09-13 18:59:57 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя, малышка 
2024-09-13 18:59:57 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя, малышка 
2024-09-13 18:59:57 INFO  c.t.external.TranslationDefiner - Translation successfully completed
2024-09-13 18:59:58 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, малышка, originalLang=ru, translatedText=я люблю цябе, дзіцятка, targetLang=be, time=2024/09/13 18:59:58, status=200, message=Ok]
2024-09-13 18:59:58 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:59:58 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:59:58 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 19:17:16 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-09-13 19:17:28 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
